ticker,name,sector,industry,description,source
NIFTY,Nifty 50 Index,Index,Index,"The Nifty 50 is India's benchmark broad-based stock market index, representing the weighted average of 50 of the largest and most liquid companies listed on the National Stock Exchange. It covers 13 sectors of the Indian economy and is widely used as a barometer of Indian equity market performance by domestic and international investors.",hardcoded
BANKNIFTY,Nifty Bank Index,Index,Banking,"The Nifty Bank Index tracks the performance of the most liquid and large-capitalised Indian banking stocks listed on the NSE. It comprises 12 banking sector stocks including public sector and private sector banks, and serves as a benchmark for the Indian banking sector. It is one of the most actively traded indices in the F&O segment.",hardcoded
FINNIFTY,Nifty Financial Services Index,Index,Financial Services,"The Nifty Financial Services Index tracks the performance of Indian companies in the financial services sector including banks, NBFCs, housing finance companies, insurance companies and other financial intermediaries listed on the NSE.",hardcoded
MIDCPNIFTY,Nifty Midcap Select Index,Index,Index,"The Nifty Midcap Select Index tracks the performance of a select set of midcap companies listed on the NSE, representing diverse sectors of the Indian economy with strong growth potential.",hardcoded
SENSEX,BSE Sensex,Index,Index,"The BSE Sensex is India's oldest and most widely tracked stock market index, comprising 30 well-established and financially sound companies listed on the Bombay Stock Exchange. It serves as a key indicator of Indian equity market sentiment.",hardcoded
20MICRONS,20 Microns Ltd,Basic Materials,Other Industrial Metals & Mining,"Incorporated in 1987, 20 Microns Ltd is in the business of Industrial Micronised Minerals and Speciality Chemicals",screener
21STCENMGM,Twenty First Century Management Services Ltd,Financial Services,Capital Markets,"Incorporated in 1986, Twentyfirst Century Management Services Ltd invests in the capital market.",screener
360ONE,360 ONE WAM Ltd,Financial Services,Asset Management,"IIFL Wealth Management Limited, founded in 2008, is one of the largest private wealth management firms in India. The company mainly acts as wealth manager and provides services relating to financial products distribution, advisory, portfolio management services by mobilizing funds and assets of various classes of investors including High Networth Individuals.",screener
3BBLACKBIO,3B Blackbio DX Ltd,,,"Incorporated in 2011, 3B BlackBio Dx Ltd manufactures and exports PCR based Molecular Diagnostic kits, PCR Enzymes & PCR Reagents, and agrochemical-based products",screener
3IINFOLTD,3i Infotech Ltd,Technology,Information Technology Services,"Incorporated in 1993, 3i Infotech Ltd provides information technology services and software solutions",screener
3MINDIA,3M India Ltd,Industrials,Conglomerates,"3M India is a subsidiary of 3M Company, USA. The Company manages its operations in four operating segments: Safety & Industrial , Transportation & Electronics, Health Care and Consumer. In India, the Company has manufacturing facilities at Ahmedabad, Bangalore, Pune and has a R&D Center in Bangalore.(Source : 202003 Annual Report Page No:137)",screener
3PLAND,3P Land Holdings Ltd,,,"Incorporated in 1965, 3P Land Holdings Ltd is is classified as a Core Investment Company (CIC) under RBI regulations( lending of investment in group companies and real estate leasing.).",screener
5PAISA,5paisa Capital Ltd,Financial Services,Capital Markets,"Incorporated in 2007, 5paisa Capital Ltd provides broking services in the Indian capital markets",screener
63MOONS,63 Moons Technologies Ltd,Technology,Software - Application,"63 Moons Techs is engaged in Computer Programming, Consultancy and related services.",screener
A2ZINFRA,A2Z Infra Engineering Ltd,Industrials,Engineering & Construction,"Incorporated in 2002, A2Z Infra Engineering Ltd provides maintenance and engineering services",screener
AAATECH,AAA Technologies Ltd,Technology,Information Technology Services,"Incorporated in 2000, AAA Technologies Ltd provides Information security auditing and Consulting",screener
AADHARHFC,Aadhar Housing Finance Ltd,Financial Services,Mortgage Finance,Aadhar Housing Finance Ltd is one of the largest low-income housing finance companies in India servicing the home financing needs of the low income sections of the society.,screener
AAKASH,Aakash Exploration Services Ltd,Energy,Oil & Gas Equipment & Services,"Incorporated in 2007, Aakash Exploration Services Limited provides services to Oil and Gas Field",screener
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Ltd,Healthcare,Drug Manufacturers - Specialty & Generic,"Incorporated in 1990, Aarey Drugs & Pharmaceuticals Ltd is a manufacturer of API / Bulk Drugs and offers products for diverse industrial applications",screener
AARNAV,Aarnav Fashions Ltd,,,"Incorporated in 1980, Aarnav Fashions Ltd is in the business of Textiles",screener
AARON,Aaron Industries Ltd,Industrials,Specialty Industrial Machinery,"Incorporated in 2013, Aaron Industries Ltd manufactures Elevators and Elevators parts and Stainless -Steel press plates",screener
AARTECH,Aartech Solonics Ltd,Industrials,Electrical Equipment & Parts,"Incorporated in 1982, Aartech Solonics Ltd is a manufacturer of Electrical Machinery and Apparatus N.E.C.",screener
AARTIDRUGS,Aarti Drugs Ltd,Healthcare,Drug Manufacturers - Specialty & Generic,"Established in the year 1984 and a part of $1000 million Aarti Group of Industries, Aarti Drugs Ltd. (ADL) is engaged into manufacturing and selling Active Pharmaceutical Ingredients (API's), Pharma Intermediates, Specialty Chemicals as well as Formulations.",screener
AARTIIND,Aarti Industries Ltd,Basic Materials,Specialty Chemicals,"Aarti Industries Ltd, the flagship company of the Aarti group, manufacturing organic and inorganic chemicals at its major facilities in Vapi, Jhagadia, Dahej and Kutch, in Gujarat and in Tarapur in Maharashtra. The company has a strong market position in the NCB-based specialty chemicals segment.",screener
AARTIPHARM,Aarti Pharmalabs Ltd,Healthcare,Drug Manufacturers - Specialty & Generic,"Incorporated in 2019, Aarti Pharmalabs Ltd is a manufacturer of Pharmaceuticals and Nutraceuticals",screener
AARTISURF,Aarti Surfactants Ltd,Basic Materials,Specialty Chemicals,"Incorporated in 2018, Aarti Surfactants Ltd is in the business of Home and personal care ingredients",screener
AARVI,Aarvi Encon Ltd,Industrials,Staffing & Employment Services,"Incorporated in 1987, Aarvi is India’s leading technical staffing company, which specializes in providing expert engineering staffing solutions.",screener
AAVAS,AAVAS Financiers Ltd,Financial Services,Mortgage Finance,"Incorporated in 2011, Aavas Financiers Ltd provides housing loans & advances",screener
ABANSENT,ABans Enterprises Ltd,,,"Incorporated in 1985, Abans Enterprises Ltd does general trading of agri -commodities, precious metals, trading in securites and derivative contracts",screener
ABB,ABB India Ltd,Industrials,Specialty Industrial Machinery,"ABB India Limited is an integrated power equipment manufacturer supplying the complete range of engineering, products, solutions and services in areas of Automation and Power technology.",screener
ABBOTINDIA,Abbott India Ltd,Healthcare,Drug Manufacturers - Specialty & Generic,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India. It was established in 1944.,screener
ABCAPITAL,Aditya Birla Capital Ltd,Financial Services,Financial Conglomerates,"Aditya Birla Capital Limited, the holding company for the financial services businesses of the Aditya Birla Group, is a universal financial solutions group catering to the diverse financial needs of its customers across their life stages.",screener
ABCOTS,AB Cotspin India Ltd,Consumer Cyclical,Textile Manufacturing,"Incorporated in 1997, A B Cotspin India Ltd is in the business of manufacturing of cotton yarn, knitted fabric, cottonseed oil and oil cakes",screener
ABDL,Allied Blenders & Distillers Ltd,Consumer Defensive,Beverages - Wineries & Distilleries,"Incorporated in 2008, Allied Blenders and Distillers Ltd manufactures, purchase and sells Alcoholic Beverages /liquids",screener
ABFRL,Aditya Birla Fashion & Retail Ltd,Consumer Cyclical,Apparel Manufacturing,"Aditya Birla Fashion and Retail Ltd. (ABFRL) emerged after the consolidation of the branded apparel businesses of Aditya Birla Group comprising ABNL's Madura Fashion division and ABNL's subsidiaries Pantaloons Fashion and Retail (PFRL) and Madura Fashion & Lifestyle (MFL) in 2015. ABFRL is a part of the Aditya Birla Group, a US$ 48.3 billion Indian multinational, in the league of Fortune 500. Anchored by an extraordinary force of over 120,000 employees, belonging to 42 nationalities, the Aditya Birla Group operates in 34 countries across the globe.",screener
ABINFRA,A B Infrabuild Ltd,Industrials,Engineering & Construction,"Incorporated in 2011, A B Infrabuild Ltd construction of roads, railways, branches and sidings, bridges, etc.",screener
ABLBL,Aditya Birla Lifestyle Brands Ltd,Consumer Cyclical,Apparel Retail,"Incorporated in 2025, Aditya Birla Lifestyle Brands Ltd is in the business of premium western wear brands",screener
ABMINTLLTD,A B M International Ltd,Basic Materials,Specialty Chemicals,"Incorporated in 1965, A B M International Ltd is primarily engaged in the import of plastic raw material",screener
ABMKNO,ABM Knowledgeware Ltd,,,"Incorporated in 1998, ABM Knowledgeware Ltd provides activities in e-governance, information security, technology enabled applications through cloud services and other software services",screener
ABREL,Aditya Birla Real Estate Ltd,Real Estate,Real Estate Services,"Century Textiles and Industries Ltd has transformed from a single-unit textile entity in 1987 into a commercial powerhouse with interests in diverse industries. Currently, the business house is a trendsetter in cotton textiles and also has a remarkable presence in the Pulp and Paper and Real Estate sectors.",screener
ABSLAMC,Aditya Birla Sun Life AMC Ltd,Financial Services,Asset Management,"Incorporated in 1994, Aditya Birla Sun Life AMC is set up as a joint venture between Aditya Birla Capital Ltd and Sun Life AMC. The Co. offers Mutual Fund services, Portfolio Management services, offshore and real estate offerings.",screener
ACC,ACC Ltd,Basic Materials,Building Materials,"ACC Limited (incorporated in 1936), a member of the Adani Group, is principally engaged in the business of manufacturing and selling of Cement and Ready Mix Concrete. The Company has manufacturing facilities across India and caters mainly to the domestic market.",screener
ACCELYA,Accelya Solutions India Ltd,Technology,Information Technology Services,Accelya Kale Solutions Is a Software solutions provider to the global Airline and Travel Industry.,screener
ACCURACY,Accuracy Shipping Ltd,Industrials,Integrated Freight & Logistics,"Accuracy Shipping Ltd is involved in providing third party logistics solutions. It offers customized and end-to-end logistics solutions and services including transportation distribution, freight forwarding, clearing and forwarding services, custom house clearance, warehousing and value added services.",screener
ACE,Action Construction Equipment Ltd,Industrials,Farm & Heavy Construction Machinery,"Action Construction Equipment Ltd is engaged in the business of manufacturing and marketing of hydraulic mobile cranes, mobile tower cranes, material handling equipment like forklifts, road construction equipment like backhoe loaders, compactors, motor graders and agriculture equipment like tractors, harvesters, rotavators, etc.",screener
ACEINTEG,Ace Integrated Solutions Ltd,Industrials,Staffing & Employment Services,"Incorporated in 1997, Ace Integrated Solutions Ltd is engaged in contract business for manpower recruitment",screener
ACI,Archean Chemical Industries Ltd,Basic Materials,Chemicals,"Archean Chemical Industries Limited is India's largest exporter of bromine and industrial salt in Fiscal 2021. The company is the leading specialty marine chemical manufacturer in India and is focused on producing and exporting bromine, industrial salt, and sulphate of potash to customers around the world.",screener
ACL,Andhra Cements Ltd,Basic Materials,Building Materials,"Incorporated in 1936, Andhra Cements Ltd is in the business of manufacturing and selling cement",screener
ACMESOLAR,ACME Solar Holdings Ltd,Utilities,Utilities - Renewable,"Incorporated in 2015, ACME Solar Holdings is a renewable energy company in India with a portfolio of solar, wind, hybrid, and firm and dispatchable renewable energy (“FDRE”) projects.",screener
ACSTECH,ACS Technologies Ltd,,,"Incorporated in 1995, ACS Technologies Ltd is in the business as System Integrator, Security and Surveillance, IOT Solutions, Software Products and Services, in the area of Information Technology",screener
ACUTAAS,Acutaas Chemicals Ltd,Basic Materials,Specialty Chemicals,"Ami Organics Limited is one of the leading research and development-driven manufacturers of specialty chemicals. The company manufactures different types of Advanced Pharmaceutical Intermediates and Active Pharmaceutical Ingredients (API) for New Chemical Entities, and materials for agrochemicals and fine chemicals.",screener
ADANIENSOL,Adani Energy Solutions Ltd,Utilities,Utilities - Independent Power Producers,"AESL, part of the Adani portfolio, is a multidimensional organization with presence in various facets of the energy domain, namely power transmission, distribution, smart metering, and cooling solutions. AESL is India's largest private transmission company.",screener
ADANIENT,Adani Enterprises Ltd,Energy,Thermal Coal,"Adani Enterprises Ltd has business interests in various economic areas such as mining, integrated resources management (IRM), infrastructure such as airports, roads, rail/ metro, water, data centres, solar manufacturing, agro and defence.",screener
ADANIGREEN,Adani Green Energy Ltd,Utilities,Utilities - Renewable,"Adani Green Energy Limited, incorporated in 2015, is a holding company of several subsidiaries carrying business of renewable power generation within the group and is primarily involved in renewable power generation and other ancillary activities.",screener
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Industrials,Marine Shipping,"Adani Ports & Special Economic Zone is in the business of development, operations and maintenance of port infrastructure (port services and related infrastructure development) and has linked multi product Special Economic Zone (SEZ) and related infrastructure contiguous to Port at Mundra.",screener
ADANIPOWER,Adani Power Ltd,Utilities,Utilities - Independent Power Producers,"Adani Power (APL), a part of the diversified Adani Group, is the largest private thermal power producer in India. The co along with its subsidiaries sell power generated from these projects under a combination of long term Power Purchase Agreements, Short term PPA and on merchant basis.",screener
ADFFOODS,ADF Foods Ltd,Consumer Defensive,Packaged Foods,"ADF specializes in the production and export of a variety of traditional Indian food products, including pickles, chutneys, pastes, sauces, ready-to-eat meals, frozen, and canned foods. Its market spans Europe, the US, Australia, and the Gulf. Additionally, ADF Foods UK Limited and ADF Holding USA Limited operate as agents distributing FMCG products in the USA and UK respectively.",screener
ADL,Archidply Decor Ltd,Consumer Cyclical,"Furnishings, Fixtures & Appliances","Incorporated in 2008, Archidply Decor Ltd is engaged in offering Wood based products.",screener
